OpenJDK 64-Bit Server VM (25.362-b08) for linux-amd64 JRE (1.8.0_362-b08), built on Jan 25 2023 16:43:50 by "mockbuild" with gcc 4.8.5 20150623 (Red Hat 4.8.5-44)
Memory: 4k page, physical 58720256k(58713180k free), swap 0k(0k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/opt/CA/itoa/ade/logs/heap_dump.bin -XX:InitialHeapSize=268435456 -XX:MaxHeapFreeRatio=70 -XX:MaxHeapSize=42949672960 -XX:MinHeapFreeRatio=10 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2023-04-09T19:10:36.440+0000: 1.859: [GC (Allocation Failure) [PSYoungGen: 65536K->4313K(76288K)] 65536K->4329K(251392K), 0.0041483 secs] [Times: user=0.01 sys=0.03, real=0.01 secs] 
2023-04-09T19:10:37.711+0000: 3.131: [GC (Allocation Failure) [PSYoungGen: 69849K->5289K(76288K)] 69865K->5377K(251392K), 0.0051929 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2023-04-09T19:10:38.848+0000: 4.268: [GC (Allocation Failure) [PSYoungGen: 70825K->5975K(76288K)] 70913K->6071K(251392K), 0.0041627 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2023-04-09T19:10:39.701+0000: 5.121: [GC (Allocation Failure) [PSYoungGen: 71511K->6168K(76288K)] 71607K->6272K(251392K), 0.0039816 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2023-04-09T19:10:39.887+0000: 5.306: [GC (Metadata GC Threshold) [PSYoungGen: 20681K->6088K(76288K)] 20785K->6200K(251392K), 0.0273568 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2023-04-09T19:10:39.914+0000: 5.334: [Full GC (Metadata GC Threshold) [PSYoungGen: 6088K->0K(76288K)] [ParOldGen: 112K->6036K(175104K)] 6200K->6036K(251392K), [Metaspace: 20614K->20603K(22528K)], 0.0618305 secs] [Times: user=0.08 sys=0.00, real=0.06 secs] 
2023-04-09T19:10:40.931+0000: 6.351: [GC (Allocation Failure) [PSYoungGen: 65536K->512K(77824K)] 71572K->6548K(252928K), 0.0473282 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2023-04-09T19:10:42.271+0000: 7.690: [GC (Allocation Failure) [PSYoungGen: 71168K->1600K(78848K)] 77204K->7644K(253952K), 0.0034134 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
